"reg","cheflieu","tncc","ncc","nccenr","libelle","libelle3"
"01","97105","3",GUADELOUPE,Guadeloupe,Guadeloupe,"GDP"
"02","97209","3",MARTINIQUE,Martinique,Martinique,"MAR"
"03","97302","3",GUYANE,Guyane,Guyane,"GUY"
"04","97411","0",LA REUNION,La Réunion,La Réunion,"REU"
"06","97608","0",MAYOTTE,Mayotte,Mayotte,"MAY"
"11","75056","1",ILE DE FRANCE,Île-de-France,Île-de-France,"IDF"
"24","45234","2",CENTRE VAL DE LOIRE,Centre-Val de Loire,Centre-Val de Loire,"CVL"
"27","21231","0",BOURGOGNE FRANCHE COMTE,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,"BFC"
"28","76540","0",NORMANDIE,Normandie,Normandie,"NOR"
"32","59350","4",HAUTS DE FRANCE,Hauts-de-France,Hauts-de-France,"HDF"
"44","67482","2",GRAND EST,Grand Est,Grand Est,"GES"
"52","44109","4",PAYS DE LA LOIRE,Pays de la Loire,Pays de la Loire,"PDL"
"53","35238","0",BRETAGNE,Bretagne,Bretagne,"BRE"
"75","33063","3",NOUVELLE AQUITAINE,Nouvelle-Aquitaine,Nouvelle-Aquitaine,"NAQ"
"76","31555","1",OCCITANIE,Occitanie,Occitanie,"OCC"
"84","69123","1",AUVERGNE RHONE ALPES,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes,"ARA"
"93","13055","0",PROVENCE ALPES COTE D AZUR,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,"PAC"
"94","2A004","0",CORSE,Corse,Corse,"COR"
